"","Hummingbird","Low","m","High","Index"
"1","Andean Emerald",1378,1378.63157894737,1380,1
"2","Crowned Woodnymph",1359.2,1383.19047619048,1390,1
"3","White-whiskered Hermit",1340,1399.43636363636,1542.8,1
"4","Stripe-throated Hermit",1360,1408.31944444444,1484,1
"5","Rufous-tailed Hummingbird",1369.7,1435.7,1442,1
"6","Wedge-billed Hummingbird",1331,1658.05882352941,2012,3
"7","Purple-bibbed Whitetip",1394,1703.33333333333,2011,3
"8","Booted Racket-tail",1370,1764.48275862069,2120,3
"9","Sparkling Violetear",1690,1885.625,1991,3
"10","Green-crowned Brilliant",1425.2,1889.53846153846,2118,3
"11","Tawny-bellied Hermit",1408.4,1905.02807017544,2280,3
"12","Fawn-breasted Brilliant",1900,1942.96296296296,1978,2
"13","Brown Inca",1754,1946.78600823045,2130,3
"14","Violet-tailed Sylph",1850,2070.46231155779,2350,2
"15","Green-fronted Lancebill",1868,2171.17647058824,2311,2
"16","Collared Inca",2000,2241.9801980198,2420,2
"17","Buff-tailed Coronet",1990,2244.71698113208,2425,2
"18","Hoary Puffleg",2110,2290,2350,2
"19","Gorgeted Sunangel",2190,2318.74015748031,2430,2
"20","Speckled Hummingbird",2150,2347.20930232558,2450,2
